state,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Haryana,32.51666667,34.975,35.74166667,43.95833333,26.9,49.475,36.99166667,57.41666667,64.11666667,50.43333333,42.475,44.1,42.375,55.39166667,35.2,52.43333333,82.23333333,19.55,46.15,30.73333333,37.2,46.05833333,48.45833333,54.56666667,46.425,51.33333333,41.86666667,32.35,25.55,41.71666667,43.25,36.65833333,71.40833333,41.775,47.36666667,42.59166667,40.13333333,23.24166667,25.85833333,32.975,30.325,67.03333333,33.99166667,40.35833333,54.55833333,36.475,38.71666667,49.33333333,40.44166667,45.93333333,28.18333333,46.375,46.81666667,44.74166667,57.83333333,54.475,51.43333333,56.08333333,40.41666667,60.24166667,52.31666667,42.58333333,43.475,59.25,31.825,58.99166667,69.99166667,32.35833333,39.76666667,44.85,53.06666667,36.73333333,43.925,32.075,51.83333333,60.55833333,61.675,54.275,28.45833333,42.775,41.10833333,42.21666667,62.04166667,39.93333333,47.7,37.58333333,26.55,70.425,34.70833333,58.6,32.81666667,35.79166667,43.64166667,47.025,68.26666667,53.725,55.71666667,57.10833333,28.70833333,32.03333333,40.45,29.775,49.78333333,40.6,43.28333333,27.58333333,37.21666667,59.19166667,32.94166667,53.36666667,42.675,32.60833333,38.44166667,25.45833333,36.29166667,33.225,35.14166667
Himachal Pradesh,112.0833333,79.3,82.78333333,82.29166667,77.51666667,109.7833333,72.93333333,82.29166667,89.75833333,117.2416667,111.1583333,100.6333333,93.275,144.6583333,103.0666667,97.675,141.9583333,82.06666667,101.1083333,90.4,109.2833333,143.2166667,135.0833333,138.3833333,125.7833333,120.8166667,119.5583333,109.0666667,118.725,108.7833333,105.5333333,118.2166667,103.3666667,81.83333333,85.66666667,96.49166667,122.075,77.28333333,73.13333333,90.71666667,74.625,110.6833333,101.925,94.05833333,137.25,128.25,109.45,146.5583333,109.2583333,140.375,103.2083333,105.3,118.8,143.125,159.9333333,128.4666667,151.8833333,131.025,136.7,92.94166667,126.3,116.1333333,112.8833333,112.8333333,101.6916667,114.25,129.8833333,97.35,93.975,90.225,106.2416667,70.19166667,79.6,64.69166667,87.83333333,98.29166667,103.75,114.2666667,85.08333333,96.24166667,95.6,118.5833333,99.13333333,80.69166667,99.5,110.2166667,86.29166667,156.7583333,98.1,121.9,92.06666667,115.2583333,94.025,117.525,124.475,115.3666667,121.2083333,115.125,95.40833333,89.00833333,82.65,82.54166667,86.2,73.19166667,104.0416667,101.5333333,86.2,92.85833333,79.70833333,104.95,92.35,79.30833333,101,84.075,100.875,76.79166667,98.51666667
Jammu and Kashmir,81.66666667,63.36666667,107.225,81.84166667,96.46666667,99.425,89.13333333,102.2833333,111.6583333,92.46666667,106.675,78.05833333,83.35,141.0166667,80.31666667,86.19166667,115.5083333,76.375,99.1,74.15833333,88.14166667,74.23333333,105.3583333,98.5,84.44166667,93.625,81.08333333,107.5916667,91.89166667,97.33333333,79.575,86.61666667,98.975,66.925,90.45,95.075,78.31666667,88.48333333,83.60833333,73.2,72.64166667,103.325,97.30833333,87.575,71.35833333,76.85833333,76.15833333,98.59166667,78.91666667,126.925,80.23333333,89.125,102.475,108.9416667,96.375,126.725,126.6916667,112.5333333,129.1833333,63.86666667,94.825,77.525,75.75833333,78.85,76.04166667,114.9083333,90.95,88.79166667,91.3,54.74166667,63.70833333,95.475,91.70833333,66.875,98.375,85.28333333,79.59166667,88.46666667,89.78333333,84.80833333,94.625,100.175,123.7666667,96.44166667,97.26666667,126.7583333,101.3333333,139.25,101.3333333,131.15,120.75,123.1666667,103.6416667,144.3666667,134.9666667,135.0416667,107.9916667,110.4833333,74.21666667,82.05,79.39166667,75.28333333,109.2583333,78.73333333,141.05,126.6583333,85.3,102.0416667,92.03244353,83.15,73.96666667,86.225,71.60833333,91.125,131.075,75.24166667,106.5916667
Jharkhand,106.2083333,99.8,97.85833333,123.4,112.8916667,109.525,121.3,101.1833333,120.6583333,108.1166667,122.95,95.23333333,132.15,101.2833333,91.85,113.6916667,143.6916667,96.89166667,136.1166667,117.9166667,102.8083333,120.2666667,119.3166667,119.325,110.6333333,123.2,106.925,115.3333333,134.2916667,119.5,112.5416667,99.475,127.975,99.78333333,95.96666667,138.7,120.8666667,102.475,126.65,102.6583333,126.1333333,132.4166667,129.675,115.5416667,109.0583333,129.4333333,102.8833333,116.8916667,119.725,116.075,89.3,115.6083333,125.7833333,88.29166667,90.06666667,129.6416667,114.7833333,98.375,133.325,104.0666667,130.05,87.30833333,109.575,95.86666667,84.36666667,73.30833333,102.1083333,107.7666667,96.50833333,107.6166667,158.225,83.01666667,120.1,93.91666667,113.4583333,99.30833333,126.7916667,129.6916667,73.56666667,111.7,97.26666667,90.44166667,105.15,127.4833333,103.3583333,111.2916667,111.0583333,96.13333333,95.74166667,117.0416667,104.25,77.76666667,100.3333333,131.6166667,113.8833333,99.3,121.775,112.8083333,132.2416667,99.29166667,104.5416667,86.24166667,103.7416667,94.73333333,80.04166667,121.6083333,119.775,110.45,83.025,58.09166667,114.55,88.74166667,104.4583333,96.38333333,90.15,105.3416667,97.14166667
Karnataka,83.575,85.01666667,105.825,70.49166667,63.29166667,83.725,83.2,65.84166667,90.60833333,96.425,75.525,95.825,73.025,77.225,85.975,102.55,91.19166667,61.11666667,84.275,69.06666667,82.175,74.75833333,82.53333333,93.925,81.86666667,74.75,71.98333333,79.2,86.25,82.78333333,84.375,105.85,110.75,65.525,79.55833333,79.85833333,75.925,72.61666667,85.375,98.33333333,78.13333333,77.73333333,94.75833333,85.46666667,66.03333333,103.7583333,79.85833333,89.50833333,73.04166667,79.7,77.10833333,72.65,104.6666667,85.925,83.5,103.6333333,88.73333333,100.825,106.7333333,82.50833333,117.4583333,108.9083333,82.74166667,97.45,61.25833333,84.24166667,78.35,83.41666667,92.20833333,89.49166667,85.01666667,88.675,90.54166667,87.61666667,111.1916667,63.44166667,100.65,102.625,93.39166667,102.0833333,98.70833333,83.625,92.59166667,88.65833333,71.61666667,85.85,77.88333333,85.18333333,76.11666667,70.70833333,101.7666667,100.0916667,86.50833333,96.475,73.6,87.00833333,98.34166667,92.75,95.80833333,100.6083333,77.2,62.98333333,63.55833333,94.45833333,109.9416667,85.875,102.5833333,95.05,96.53333333,103.3166667,90.60833333,73.16666667,92.55,98.675,92.70833333,57.28333333,88.48333333
Kerala,270.7166667,277.2083333,272.6166667,260.8,228.475,225.675,305.9083333,220.6916667,254.175,237.3833333,227.2333333,287.6083333,217.5583333,241.6,252.0583333,245.45,225.4,208.4916667,250.2583333,275.2666667,226.6666667,272.3083333,290.4083333,352.1916667,255.1833333,247.1166667,249.5666667,208.5583333,280.1333333,251.5,271.625,283.5916667,339.4,200.8916667,208.175,253.5916667,234.8416667,219.5083333,244.7916667,259.8166667,259.2666667,254.25,288.6916667,207.4916667,202.6916667,297.125,249.8333333,253.2666667,245.2083333,262.225,225.4666667,194.5666667,212.0666667,244.825,261.2166667,233.1916667,258.6,243.5916667,312.1833333,282.1333333,354.825,281.3166667,220.9166667,239.1,195.2083333,218.4833333,214.0916667,282.725,222.075,225.275,256.3916667,228.2666667,201.0333333,230.625,291.5333333,172.4,253.9666667,264.725,208.5916667,233.6166667,250.4833333,185.275,193.375,230.1833333,199.2333333,174.45,178.1333333,200.2833333,201.8833333,224.4416667,265.375,269.95,226.475,284.2333333,238.2333333,217.4916667,271.0416667,262.6166667,242.8916667,201.0416667,244.25,208.9583333,199.5666667,240.5,252.6,285.05,290.8,210.3916667,234.225,260.9916667,252.9416667,179.2666667,271.2916667,253.8833333,216.725,155.9,222.0666667
Ladakh,81.66666667,63.36666667,107.225,81.84166667,96.46666667,99.425,89.13333333,102.2833333,111.6583333,92.46666667,106.675,78.05833333,83.35,141.0166667,80.31666667,86.19166667,115.5083333,76.375,99.1,74.15833333,88.14166667,74.23333333,105.3583333,98.5,84.44166667,93.625,81.08333333,107.5916667,91.89166667,97.33333333,79.575,86.61666667,98.975,66.925,90.45,95.075,78.31666667,88.48333333,83.60833333,73.2,72.64166667,103.325,97.30833333,87.575,71.35833333,76.85833333,76.15833333,98.59166667,78.91666667,126.925,80.23333333,89.125,102.475,108.9416667,96.375,126.725,126.6916667,112.5333333,129.1833333,63.86666667,94.825,77.525,75.75833333,78.85,76.04166667,114.9083333,90.95,88.79166667,91.3,54.74166667,63.70833333,95.475,91.70833333,66.875,98.375,85.28333333,79.59166667,88.46666667,89.78333333,84.80833333,94.625,100.175,123.7666667,96.44166667,97.26666667,126.7583333,101.3333333,139.25,101.3333333,131.15,120.75,123.1666667,103.6416667,144.3666667,134.9666667,135.0416667,107.9916667,110.4833333,74.21666667,82.05,79.39166667,75.28333333,109.2583333,78.73333333,141.05,126.6583333,85.3,102.0416667,92.03244353,83.15,73.96666667,86.225,71.60833333,91.125,131.075,75.24166667,106.5916667
Lakshadweep,121.6,179.9,119.8271285,98.075,131.2416667,150.9666667,121.5666667,163.2583333,121.9583333,154.1,140.6416667,137.9083333,126.5416667,169.5,128.7916667,116.5416667,121.7989381,132.3721751,160.5416667,172.7086978,132.4509886,160.7083333,131.0166667,164.3333333,139.7416667,153.0166667,117.7503363,119.5246253,130.1825571,104.8666667,135.486481,157.8083333,192.8416667,90.65833333,127.4333333,145.3416667,120.3,128.9666667,100.6083333,117.225,96.95,148.85,166.073476,139.0083333,110.1083333,113.5226891,146.325,110.4416667,149.5575571,124.5083333,142.9416667,93.70833333,133.85,129.625,129.025,107.2833333,112.2666667,82.71666667,131.9666667,158.4833333,186.275,132.2166667,158.5083333,137.6416667,117.1583333,145.125,107.275,112.0333333,118.0083333,148.5833333,158.45,107.3,129.7833333,125.9416667,157.5416667,125.175,154.0166667,163.95,152.1166667,100.975,134.7833333,116,116.9333333,132.6333333,108.6166667,122.1583333,107.3833333,120.9,142.8666667,109.2083333,131.9166667,127.9083333,120.8083333,128.925,169.2416667,133.8333333,147.0583333,165.575,154.775,114.3416667,115.05,86.125,127.7416667,129.4333333,131.2833333,133.2166667,196.8,143.9,130.8416667,143.7666667,127.8083333,117.125,118.8583333,116.25,136.9083333,88.80833333,132.3721751
Madya Pradesh,64.09166667,65.33333333,69.825,50.3,44.80833333,62.025,67.925,60.16666667,62.93333333,76.26666667,45.375,63.74166667,61.04166667,86.575,75.65833333,89.375,78.18333333,36.51666667,73.24166667,50.025,61.19166667,67.09166667,56.74166667,62.35833333,55.14166667,65.6,77.08333333,69.30833333,57.53333333,77.425,94.35833333,87.08333333,96.03333333,71.53333333,68.25,61.29166667,76.2,93.85833333,68.475,74.44166667,64.525,78.43333333,82.75833333,90.5,66.10833333,91.96666667,75.46666667,84.68333333,79.45833333,77.70833333,66.39166667,56.95,74.475,82.08333333,81.75833333,102.8166667,70.81666667,87.84166667,93.24166667,73.825,89.21666667,74.91666667,74.99166667,78.8,65.88333333,69.79166667,76.1,68.66666667,82.01666667,78.43333333,64.44166667,43.325,81.71666667,75.98333333,86.725,85.49166667,78.925,73.64166667,85.55833333,78.29166667,77.48333333,62.66666667,76.55,64.98333333,54.66666667,53.69166667,67.29166667,81.375,68.04166667,85.20833333,73.39166667,65.925,84.99166667,85.13333333,64.7,81.275,83.40833333,91.75833333,80.48333333,58.45833333,65.40833333,61.68333333,64.375,85.79166667,101.7833333,116.3,86.7,76.4,78.49166667,85.63333333,71.04166667,57.5,80.20833333,69.83333333,53.70833333,75.51666667,82.85833333
Maharashtra,64.09166667,65.33333333,69.825,50.3,44.80833333,62.025,67.925,60.16666667,62.93333333,76.26666667,45.375,63.74166667,61.04166667,86.575,75.65833333,89.375,78.18333333,36.51666667,73.24166667,50.025,61.19166667,67.09166667,56.74166667,62.35833333,55.14166667,65.6,77.08333333,69.30833333,57.53333333,77.425,94.35833333,87.08333333,96.03333333,71.53333333,68.25,61.29166667,76.2,93.85833333,68.475,74.44166667,64.525,78.43333333,82.75833333,90.5,66.10833333,91.96666667,75.46666667,84.68333333,79.45833333,77.70833333,66.39166667,56.95,74.475,82.08333333,81.75833333,102.8166667,70.81666667,87.84166667,93.24166667,73.825,89.21666667,74.91666667,74.99166667,78.8,65.88333333,69.79166667,76.1,68.66666667,82.01666667,78.43333333,64.44166667,43.325,81.71666667,75.98333333,86.725,85.49166667,78.925,73.64166667,85.55833333,78.29166667,77.48333333,62.66666667,76.55,64.98333333,54.66666667,53.69166667,67.29166667,81.375,68.04166667,85.20833333,73.39166667,65.925,84.99166667,85.13333333,64.7,81.275,83.40833333,91.75833333,80.48333333,58.45833333,65.40833333,61.68333333,64.375,85.79166667,101.7833333,116.3,86.7,76.4,78.49166667,85.63333333,71.04166667,57.5,80.20833333,69.83333333,53.70833333,75.51666667,82.85833333
